neutral hinglish sentence,context,social_context,Possible Slangs,Slang Location,Multiple positions allowed?,Control tokens,function,output sentence
Class cancel ho gayi,Academics,Casual / Joyful,chal,"START, END",No,[ASSERT_HAPPY],discourse_marker,"Chal, Class cancel ho gayi chal"
Office mein bahut kaam hai,Work,Peer / Tired,bro,END,Yes,[ASSERT_NEGATIVE],filler,Office mein bahut kaam hai bro
Meeting kal tak postpone ho gayi,Work,Friend / Normal,bro,START,Yes,[REQUEST_NEUTRAL],filler,"Bro, Meeting kal tak postpone ho gayi"
Coffee bahut strong hai,Food,Casual / Joyful,solid,"START, END",No,[ASSERT_EXCITED],positive_eval,"Solid, Coffee bahut strong hai solid"
Meeting kal tak postpone ho gayi,Work,Peer / Casual,boss,MIDDLE,Yes,[INFO_STATEMENT],filler,Meeting kal tak boss postpone ho gayi
Khana bahut swadisht hai,Food,Peer / Casual,kadak,"START, END",No,[ASSERT_EXCITED],positive_eval,"Kadak, Khana bahut swadisht hai kadak"
Party bahut mazedaar thi,Party,Friend / Excited,yaar,START,Yes,[ASSERT_POSITIVE],filler,"Yaar, Party bahut mazedaar thi"
Traffic jam bahut lamba tha,Commute,Casual / Frustrated,theek hai,END,Yes,[ASSERT_NEGATIVE],filler,Traffic jam bahut lamba tha theek hai
Chai thandi ho gayi hai,Food,Peer / Angry,dimag kharab,END,Yes,[ASSERT_SADNESS],negative_eval,Chai thandi ho gayi hai dimag kharab
Coffee bahut strong hai,Food,Friend / Excited,yaar,MIDDLE,Yes,[ASSERT_EXCITED],filler,Coffee bahut yaar strong hai
Mujhe naya phone lena hai,Shopping,Friend / Normal,scene,END,Yes,[ASSERT_CONFUSION],filler,Mujhe naya phone lena hai scene
Aaj ka din bahut lamba tha,Daily life,Friend / Anxious,boss,MIDDLE,Yes,[ASSERT_STRESS],filler,Aaj ka din boss bahut lamba tha
Mujhe yeh movie pasand aayi,Entertainment,Casual / Joyful,bro,"START, END",No,[ASSERT_EXCITED],filler,"Bro, Mujhe yeh movie pasand aayi bro"
Mujhe yeh movie pasand aayi,Entertainment,Peer / Happy,chal,"START, END",No,[ASSERT_EXCITED],discourse_marker,"Chal, Mujhe yeh movie pasand aayi chal"
Train late chal rahi hai,Travel,Peer / Angry,watt lag gayi,"START, END",No,[ASSERT_SADNESS],idiom,"Watt lag gayi, Train late chal rahi hai watt lag gayi"
Mujhe naya phone lena hai,Shopping,Friend / Normal,guru,"START, END",No,[REQUEST_NEUTRAL],filler,"Guru, Mujhe naya phone lena hai guru"
Thand badh gayi hai,Weather,Colleague / Neutral,chal,"START, END",No,[REQUEST_NEUTRAL],discourse_marker,"Chal, Thand badh gayi hai chal"
Mujhe naya phone lena hai,Shopping,Friend / Normal,scene,"START, END",No,[ASSERT_NEUTRAL],filler,"Scene, Mujhe naya phone lena hai scene"
Baarish shuru ho gayi,Weather,Peer / Casual,boss,"START, END",No,[ASSERT_CONFUSION],filler,"Boss, Baarish shuru ho gayi boss"
Dost ke sath ghoomne jana hai,Outing,Peer / Casual,yaar,END,Yes,[ASSERT_POSITIVE],filler,Dost ke sath ghoomne jana hai yaar
Main tumhari help kar dunga,Helping,Peer / Happy,bhadiya,END,Yes,[ASSERT_POSITIVE],positive_eval,Main tumhari help kar dunga bhadiya
Thand badh gayi hai,Weather,Friend / Normal,bhai,END,Yes,[INFO_STATEMENT],filler,Thand badh gayi hai bhai
Project deadline pass aa rahi hai,Work,Friend / Anxious,boss,MIDDLE,Yes,[ASSERT_FRUSTRATION],filler,Project deadline pass boss aa rahi hai
Coffee bahut strong hai,Food,Peer / Happy,bawaal,MIDDLE,Yes,[ASSERT_HAPPY],positive_eval,Coffee bahut bawaal strong hai
Class cancel ho gayi,Academics,Casual / Joyful,theek hai,"START, END",No,[ASSERT_POSITIVE],filler,"Theek hai, Class cancel ho gayi theek hai"
Coffee bahut strong hai,Food,Peer / Happy,boss,"START, END",No,[ASSERT_HAPPY],filler,"Boss, Coffee bahut strong hai boss"
Mujhe yeh movie pasand aayi,Entertainment,Friend / Excited,boss,MIDDLE,Yes,[ASSERT_POSITIVE],filler,Mujhe yeh boss movie pasand aayi
Meeting kal tak postpone ho gayi,Work,Colleague / Neutral,chal,END,Yes,[REQUEST_NEUTRAL],discourse_marker,Meeting kal tak postpone ho gayi chal
Match ka result achha tha,Sports,Casual / Joyful,jhakaas,MIDDLE,Yes,[ASSERT_EXCITED],positive_eval,Match ka jhakaas result achha tha
Market mein bahut bheed thi,Shopping,Friend / Anxious,theek hai,END,Yes,[ASSERT_ANXIETY],filler,Market mein bahut bheed thi theek hai
Chai thandi ho gayi hai,Food,Peer / Angry,bro,"START, END",No,[ASSERT_SADNESS],filler,"Bro, Chai thandi ho gayi hai bro"
Internet ki speed slow hai,Tech Issue,Casual / Frustrated,yaar,START,Yes,[ASSERT_NEGATIVE],filler,"Yaar, Internet ki speed slow hai"
Mujhe akele rehna pasand hai,Personal,Colleague / Neutral,yaar,END,Yes,[REQUEST_NEUTRAL],filler,Mujhe akele rehna pasand hai yaar
Office mein bahut kaam hai,Work,Peer / Angry,yaar,"START, END",No,[ASSERT_SADNESS],filler,"Yaar, Office mein bahut kaam hai yaar"
Class cancel ho gayi,Academics,Casual / Joyful,bawaal,START,Yes,[ASSERT_POSITIVE],positive_eval,"Bawaal, Class cancel ho gayi"
Meeting kal tak postpone ho gayi,Work,Peer / Casual,yaar,MIDDLE,Yes,[ASSERT_CONFUSION],filler,Meeting kal tak yaar postpone ho gayi
Mausam aaj bahut achha hai,Weather,Friend / Excited,chal,START,Yes,[ASSERT_POSITIVE],discourse_marker,"Chal, Mausam aaj bahut achha hai"
Mujhe samajh nahi aa raha,Confusion,Casual / Frustrated,panga,MIDDLE,Yes,[ASSERT_SADNESS],idiom,Mujhe samajh panga nahi aa raha
Mujhe akele rehna pasand hai,Personal,Peer / Casual,chal,"START, END",No,[ASSERT_CONFUSION],discourse_marker,"Chal, Mujhe akele rehna pasand hai chal"
Flight time par land ho gayi,Travel,Peer / Happy,boss,START,Yes,[ASSERT_EXCITED],filler,"Boss, Flight time par land ho gayi"
Gana bahut loudly baj raha hai,Music,Peer / Serious,yaar,"START, END",No,[ASSERT_ANXIETY],filler,"Yaar, Gana bahut loudly baj raha hai yaar"
Assignment bahut lamba hai,Academics,Peer / Serious,yaar,START,Yes,[ASSERT_FRUSTRATION],filler,"Yaar, Assignment bahut lamba hai"
Main tumhari help kar dunga,Helping,Peer / Casual,scene,START,Yes,[ASSERT_EXCITED],filler,"Scene, Main tumhari help kar dunga"
Mujhe naya phone lena hai,Shopping,Colleague / Neutral,theek hai,START,Yes,[ASSERT_NEUTRAL],filler,"Theek hai, Mujhe naya phone lena hai"
Dost ke sath ghoomne jana hai,Outing,Friend / Excited,yaar,START,Yes,[ASSERT_HAPPY],filler,"Yaar, Dost ke sath ghoomne jana hai"
Kal meri chhutti hai,Work,Peer / Casual,chal,END,Yes,[ASSERT_HAPPY],discourse_marker,Kal meri chhutti hai chal
System crash ho gaya,Tech Issue,Casual / Frustrated,watt lag gayi,"START, END",No,[ASSERT_STRESS],idiom,"Watt lag gayi, System crash ho gaya watt lag gayi"
Coffee bahut strong hai,Food,Peer / Happy,bhai,START,Yes,[ASSERT_POSITIVE],filler,"Bhai, Coffee bahut strong hai"
Train late chal rahi hai,Travel,Peer / Tired,raddi,"START, END",No,[ASSERT_SADNESS],negative_eval,"Raddi, Train late chal rahi hai raddi"
Coffee bahut strong hai,Food,Casual / Joyful,solid,END,Yes,[ASSERT_HAPPY],positive_eval,Coffee bahut strong hai solid
Class cancel ho gayi,Academics,Casual / Joyful,chal,"START, END",No,[ASSERT_POSITIVE],discourse_marker,"Chal, Class cancel ho gayi chal"
Office mein bahut kaam hai,Work,Peer / Angry,guru,START,Yes,[ASSERT_NEGATIVE],filler,"Guru, Office mein bahut kaam hai"
Market mein bahut bheed thi,Shopping,Friend / Anxious,bhasad,MIDDLE,Yes,[ASSERT_STRESS],idiom,Market mein bhasad bahut bheed thi
Traffic jam bahut lamba tha,Commute,Friend / Anxious,load,MIDDLE,Yes,[ASSERT_STRESS],idiom,Traffic jam load bahut lamba tha
Traffic jam bahut lamba tha,Commute,Friend / Anxious,bhasad,"START, END",No,[ASSERT_ANXIETY],idiom,"Bhasad, Traffic jam bahut lamba tha bhasad"
Traffic jam bahut lamba tha,Commute,Casual / Frustrated,kharaab,MIDDLE,Yes,[ASSERT_NEGATIVE],negative_eval,Traffic jam kharaab bahut lamba tha
Baarish shuru ho gayi,Weather,Colleague / Neutral,guru,START,Yes,[INFO_STATEMENT],filler,"Guru, Baarish shuru ho gayi"
Chai thandi ho gayi hai,Food,Casual / Frustrated,boss,END,Yes,[ASSERT_SADNESS],filler,Chai thandi ho gayi hai boss
Dost ke sath ghoomne jana hai,Outing,Peer / Happy,faadu,MIDDLE,Yes,[ASSERT_HAPPY],positive_eval,Dost ke sath faadu ghoomne jana hai
Main tumhari help kar dunga,Helping,Casual / Joyful,faadu,"START, END",No,[ASSERT_HAPPY],positive_eval,"Faadu, Main tumhari help kar dunga faadu"
Aaj ka din bahut lamba tha,Daily life,Peer / Tired,raddi,END,Yes,[ASSERT_STRESS],negative_eval,Aaj ka din bahut lamba tha raddi
Chai thandi ho gayi hai,Food,Friend / Anxious,boss,END,Yes,[ASSERT_NEGATIVE],filler,Chai thandi ho gayi hai boss
Aaj ka din bahut lamba tha,Daily life,Peer / Tired,watt lag gayi,"START, END",No,[ASSERT_SADNESS],idiom,"Watt lag gayi, Aaj ka din bahut lamba tha watt lag gayi"
Naya update install kar liya,Tech,Colleague / Neutral,theek hai,END,Yes,[INFO_STATEMENT],filler,Naya update install kar liya theek hai
Aaj ka din bahut lamba tha,Daily life,Friend / Anxious,panga,END,Yes,[ASSERT_STRESS],idiom,Aaj ka din bahut lamba tha panga
Assignment bahut lamba hai,Academics,Friend / Anxious,guru,END,Yes,[ASSERT_SADNESS],filler,Assignment bahut lamba hai guru
Match ka result achha tha,Sports,Peer / Happy,scene set,END,Yes,[ASSERT_POSITIVE],idiom,Match ka result achha tha scene set
System crash ho gaya,Tech Issue,Casual / Frustrated,bro,"START, END",No,[ASSERT_NEGATIVE],filler,"Bro, System crash ho gaya bro"
Project deadline pass aa rahi hai,Work,Peer / Serious,load,"START, END",No,[ASSERT_ANXIETY],idiom,"Load, Project deadline pass aa rahi hai load"
Khana bahut swadisht hai,Food,Peer / Happy,boss,END,Yes,[ASSERT_EXCITED],filler,Khana bahut swadisht hai boss
Project deadline pass aa rahi hai,Work,Peer / Serious,watt lag gayi,"START, END",No,[ASSERT_ANXIETY],idiom,"Watt lag gayi, Project deadline pass aa rahi hai watt lag gayi"
System crash ho gaya,Tech Issue,Friend / Anxious,bekaar,START,Yes,[ASSERT_SADNESS],negative_eval,"Bekaar, System crash ho gaya"
Naya update install kar liya,Tech,Peer / Casual,bhai,MIDDLE,Yes,[REQUEST_NEUTRAL],filler,Naya update bhai install kar liya
Internet ki speed slow hai,Tech Issue,Casual / Frustrated,yaar,MIDDLE,Yes,[ASSERT_ANXIETY],filler,Internet ki yaar speed slow hai
Naya update install kar liya,Tech,Peer / Casual,yaar,END,Yes,[ASSERT_CONFUSION],filler,Naya update install kar liya yaar
Mujhe samajh nahi aa raha,Confusion,Friend / Anxious,boss,"START, END",No,[ASSERT_STRESS],filler,"Boss, Mujhe samajh nahi aa raha boss"
Flight time par land ho gayi,Travel,Peer / Happy,bro,"START, END",No,[ASSERT_POSITIVE],filler,"Bro, Flight time par land ho gayi bro"
Traffic jam bahut lamba tha,Commute,Peer / Serious,raddi,MIDDLE,Yes,[ASSERT_FRUSTRATION],negative_eval,Traffic jam raddi bahut lamba tha
Aaj ka din bahut lamba tha,Daily life,Casual / Frustrated,panga,MIDDLE,Yes,[ASSERT_ANXIETY],idiom,Aaj ka din panga bahut lamba tha
Main tumhari help kar dunga,Helping,Peer / Happy,bawaal,MIDDLE,Yes,[ASSERT_POSITIVE],positive_eval,Main tumhari bawaal help kar dunga
Mujhe yeh movie pasand aayi,Entertainment,Peer / Casual,bhai,START,Yes,[ASSERT_HAPPY],filler,"Bhai, Mujhe yeh movie pasand aayi"
Dost ke sath ghoomne jana hai,Outing,Friend / Excited,boss,END,Yes,[ASSERT_EXCITED],filler,Dost ke sath ghoomne jana hai boss
Match ka result achha tha,Sports,Friend / Excited,theek hai,END,Yes,[ASSERT_HAPPY],filler,Match ka result achha tha theek hai
Internet ki speed slow hai,Tech Issue,Friend / Anxious,chal,END,Yes,[ASSERT_NEGATIVE],discourse_marker,Internet ki speed slow hai chal
Flight time par land ho gayi,Travel,Peer / Casual,chal,END,Yes,[ASSERT_EXCITED],discourse_marker,Flight time par land ho gayi chal
Kal meri chhutti hai,Work,Peer / Casual,kadak,END,Yes,[ASSERT_EXCITED],positive_eval,Kal meri chhutti hai kadak
Class cancel ho gayi,Academics,Peer / Casual,bawaal,"START, END",No,[ASSERT_HAPPY],positive_eval,"Bawaal, Class cancel ho gayi bawaal"
Mujhe samajh nahi aa raha,Confusion,Casual / Frustrated,scene,"START, END",No,[ASSERT_ANXIETY],filler,"Scene, Mujhe samajh nahi aa raha scene"
System crash ho gaya,Tech Issue,Friend / Anxious,kharaab,END,Yes,[ASSERT_SADNESS],negative_eval,System crash ho gaya kharaab
Mujhe akele rehna pasand hai,Personal,Friend / Normal,guru,END,Yes,[ASSERT_NEUTRAL],filler,Mujhe akele rehna pasand hai guru
Match ka result achha tha,Sports,Peer / Casual,solid,MIDDLE,Yes,[ASSERT_POSITIVE],positive_eval,Match ka solid result achha tha
Project deadline pass aa rahi hai,Work,Friend / Anxious,watt lag gayi,END,Yes,[ASSERT_SADNESS],idiom,Project deadline pass aa rahi hai watt lag gayi
System crash ho gaya,Tech Issue,Friend / Anxious,bhasad,END,Yes,[ASSERT_SADNESS],idiom,System crash ho gaya bhasad
Meeting kal tak postpone ho gayi,Work,Peer / Casual,guru,MIDDLE,Yes,[REQUEST_NEUTRAL],filler,Meeting kal tak guru postpone ho gayi
Mujhe akele rehna pasand hai,Personal,Colleague / Neutral,yaar,"START, END",No,[ASSERT_NEUTRAL],filler,"Yaar, Mujhe akele rehna pasand hai yaar"
Khana bahut swadisht hai,Food,Casual / Joyful,scene set,"START, END",No,[ASSERT_HAPPY],idiom,"Scene set, Khana bahut swadisht hai scene set"
Train late chal rahi hai,Travel,Friend / Anxious,theek hai,START,Yes,[ASSERT_FRUSTRATION],filler,"Theek hai, Train late chal rahi hai"
System crash ho gaya,Tech Issue,Peer / Tired,panga,MIDDLE,Yes,[ASSERT_NEGATIVE],idiom,System crash panga ho gaya
Mujhe naya phone lena hai,Shopping,Colleague / Neutral,bro,START,Yes,[INFO_STATEMENT],filler,"Bro, Mujhe naya phone lena hai"
System crash ho gaya,Tech Issue,Peer / Tired,bekaar,START,Yes,[ASSERT_SADNESS],negative_eval,"Bekaar, System crash ho gaya"
Coffee bahut strong hai,Food,Casual / Joyful,boss,END,Yes,[ASSERT_POSITIVE],filler,Coffee bahut strong hai boss
Aaj ka din bahut lamba tha,Daily life,Friend / Anxious,yaar,MIDDLE,Yes,[ASSERT_STRESS],filler,Aaj ka din yaar bahut lamba tha
Baarish shuru ho gayi,Weather,Peer / Casual,theek hai,END,Yes,[REQUEST_NEUTRAL],filler,Baarish shuru ho gayi theek hai
Naya update install kar liya,Tech,Friend / Normal,scene,END,Yes,[INFO_STATEMENT],filler,Naya update install kar liya scene
Party bahut mazedaar thi,Party,Friend / Excited,jhakaas,MIDDLE,Yes,[ASSERT_POSITIVE],positive_eval,Party bahut jhakaas mazedaar thi
Meeting kal tak postpone ho gayi,Work,Colleague / Neutral,bro,MIDDLE,Yes,[ASSERT_CONFUSION],filler,Meeting kal tak bro postpone ho gayi
System crash ho gaya,Tech Issue,Peer / Serious,bekaar,"START, END",No,[ASSERT_FRUSTRATION],negative_eval,"Bekaar, System crash ho gaya bekaar"
Thand badh gayi hai,Weather,Friend / Normal,guru,END,Yes,[REQUEST_NEUTRAL],filler,Thand badh gayi hai guru
Mujhe naya phone lena hai,Shopping,Peer / Casual,scene,"START, END",No,[INFO_STATEMENT],filler,"Scene, Mujhe naya phone lena hai scene"
Khana bahut swadisht hai,Food,Casual / Joyful,guru,"START, END",No,[ASSERT_HAPPY],filler,"Guru, Khana bahut swadisht hai guru"
Office mein bahut kaam hai,Work,Friend / Anxious,bhai,MIDDLE,Yes,[ASSERT_SADNESS],filler,Office mein bhai bahut kaam hai
Project deadline pass aa rahi hai,Work,Friend / Anxious,scene,MIDDLE,Yes,[ASSERT_ANXIETY],filler,Project deadline pass scene aa rahi hai
System crash ho gaya,Tech Issue,Friend / Anxious,raddi,START,Yes,[ASSERT_STRESS],negative_eval,"Raddi, System crash ho gaya"
Naya update install kar liya,Tech,Colleague / Neutral,boss,"START, END",No,[REQUEST_NEUTRAL],filler,"Boss, Naya update install kar liya boss"
Market mein bahut bheed thi,Shopping,Peer / Tired,load,END,Yes,[ASSERT_SADNESS],idiom,Market mein bahut bheed thi load
System crash ho gaya,Tech Issue,Peer / Serious,scene,START,Yes,[ASSERT_NEGATIVE],filler,"Scene, System crash ho gaya"
Gana bahut loudly baj raha hai,Music,Peer / Serious,theek hai,END,Yes,[ASSERT_NEGATIVE],filler,Gana bahut loudly baj raha hai theek hai
Flight time par land ho gayi,Travel,Friend / Excited,scene set,END,Yes,[ASSERT_EXCITED],idiom,Flight time par land ho gayi scene set
Garmi bahut zyada hai aaj,Weather,Peer / Tired,bro,MIDDLE,Yes,[ASSERT_NEGATIVE],filler,Garmi bahut bro zyada hai aaj
Market mein bahut bheed thi,Shopping,Peer / Serious,bhasad,MIDDLE,Yes,[ASSERT_ANXIETY],idiom,Market mein bhasad bahut bheed thi
Chai thandi ho gayi hai,Food,Friend / Anxious,boss,START,Yes,[ASSERT_NEGATIVE],filler,"Boss, Chai thandi ho gayi hai"
Mausam aaj bahut achha hai,Weather,Friend / Excited,kadak,END,Yes,[ASSERT_EXCITED],positive_eval,Mausam aaj bahut achha hai kadak
Mujhe samajh nahi aa raha,Confusion,Peer / Serious,yaar,START,Yes,[ASSERT_STRESS],filler,"Yaar, Mujhe samajh nahi aa raha"
Baarish shuru ho gayi,Weather,Colleague / Neutral,bro,END,Yes,[ASSERT_NEUTRAL],filler,Baarish shuru ho gayi bro
Assignment bahut lamba hai,Academics,Peer / Serious,raddi,MIDDLE,Yes,[ASSERT_STRESS],negative_eval,Assignment bahut raddi lamba hai
Garmi bahut zyada hai aaj,Weather,Peer / Angry,watt lag gayi,START,Yes,[ASSERT_FRUSTRATION],idiom,"Watt lag gayi, Garmi bahut zyada hai aaj"
Mujhe samajh nahi aa raha,Confusion,Friend / Anxious,bro,END,Yes,[ASSERT_STRESS],filler,Mujhe samajh nahi aa raha bro
Gana bahut loudly baj raha hai,Music,Casual / Frustrated,chal,END,Yes,[ASSERT_ANXIETY],discourse_marker,Gana bahut loudly baj raha hai chal
Office mein bahut kaam hai,Work,Peer / Serious,bro,"START, END",No,[ASSERT_SADNESS],filler,"Bro, Office mein bahut kaam hai bro"
Class cancel ho gayi,Academics,Friend / Excited,scene,MIDDLE,Yes,[ASSERT_POSITIVE],filler,Class cancel scene ho gayi
Gana bahut loudly baj raha hai,Music,Casual / Frustrated,bekaar,MIDDLE,Yes,[ASSERT_SADNESS],negative_eval,Gana bahut loudly bekaar baj raha hai
Coffee bahut strong hai,Food,Peer / Happy,yaar,END,Yes,[ASSERT_POSITIVE],filler,Coffee bahut strong hai yaar
Chai thandi ho gayi hai,Food,Peer / Angry,bakwaas,"START, END",No,[ASSERT_ANXIETY],negative_eval,"Bakwaas, Chai thandi ho gayi hai bakwaas"
Traffic jam bahut lamba tha,Commute,Casual / Frustrated,raddi,MIDDLE,Yes,[ASSERT_NEGATIVE],negative_eval,Traffic jam raddi bahut lamba tha
Thand badh gayi hai,Weather,Friend / Normal,chal,MIDDLE,Yes,[INFO_STATEMENT],discourse_marker,Thand badh chal gayi hai
Meeting kal tak postpone ho gayi,Work,Peer / Casual,theek hai,START,Yes,[ASSERT_NEUTRAL],filler,"Theek hai, Meeting kal tak postpone ho gayi"
Mausam aaj bahut achha hai,Weather,Peer / Casual,mast,MIDDLE,Yes,[ASSERT_HAPPY],positive_eval,Mausam aaj mast bahut achha hai
Gana bahut loudly baj raha hai,Music,Friend / Anxious,chal,START,Yes,[ASSERT_ANXIETY],discourse_marker,"Chal, Gana bahut loudly baj raha hai"
Gana bahut loudly baj raha hai,Music,Peer / Tired,bro,MIDDLE,Yes,[ASSERT_NEGATIVE],filler,Gana bahut loudly bro baj raha hai
Office mein bahut kaam hai,Work,Peer / Angry,boss,MIDDLE,Yes,[ASSERT_SADNESS],filler,Office mein boss bahut kaam hai
Assignment bahut lamba hai,Academics,Peer / Tired,bhai,END,Yes,[ASSERT_ANXIETY],filler,Assignment bahut lamba hai bhai
Mujhe yeh movie pasand aayi,Entertainment,Peer / Casual,scene set,START,Yes,[ASSERT_HAPPY],idiom,"Scene set, Mujhe yeh movie pasand aayi"
Aaj ka din bahut lamba tha,Daily life,Peer / Serious,bro,END,Yes,[ASSERT_NEGATIVE],filler,Aaj ka din bahut lamba tha bro
Project deadline pass aa rahi hai,Work,Peer / Tired,dimag kharab,MIDDLE,Yes,[ASSERT_SADNESS],negative_eval,Project deadline pass dimag kharab aa rahi hai
Internet ki speed slow hai,Tech Issue,Peer / Serious,load,MIDDLE,Yes,[ASSERT_NEGATIVE],idiom,Internet ki load speed slow hai
Naya update install kar liya,Tech,Colleague / Neutral,bhai,"START, END",No,[ASSERT_NEUTRAL],filler,"Bhai, Naya update install kar liya bhai"
Flight time par land ho gayi,Travel,Casual / Joyful,yaar,END,Yes,[ASSERT_EXCITED],filler,Flight time par land ho gayi yaar
Class cancel ho gayi,Academics,Peer / Casual,kadak,START,Yes,[ASSERT_POSITIVE],positive_eval,"Kadak, Class cancel ho gayi"
Mujhe yeh movie pasand aayi,Entertainment,Friend / Excited,yaar,"START, END",No,[ASSERT_POSITIVE],filler,"Yaar, Mujhe yeh movie pasand aayi yaar"
Class cancel ho gayi,Academics,Friend / Excited,faadu,"START, END",No,[ASSERT_POSITIVE],positive_eval,"Faadu, Class cancel ho gayi faadu"
Mujhe naya phone lena hai,Shopping,Friend / Normal,chal,MIDDLE,Yes,[ASSERT_CONFUSION],discourse_marker,Mujhe naya chal phone lena hai
Mujhe akele rehna pasand hai,Personal,Peer / Casual,scene,END,Yes,[ASSERT_NEUTRAL],filler,Mujhe akele rehna pasand hai scene
Mujhe naya phone lena hai,Shopping,Colleague / Neutral,yaar,"START, END",No,[ASSERT_NEUTRAL],filler,"Yaar, Mujhe naya phone lena hai yaar"
Baarish shuru ho gayi,Weather,Colleague / Neutral,guru,"START, END",No,[ASSERT_NEUTRAL],filler,"Guru, Baarish shuru ho gayi guru"
Mausam aaj bahut achha hai,Weather,Peer / Happy,solid,END,Yes,[ASSERT_EXCITED],positive_eval,Mausam aaj bahut achha hai solid
Flight time par land ho gayi,Travel,Friend / Excited,bawaal,END,Yes,[ASSERT_EXCITED],positive_eval,Flight time par land ho gayi bawaal
Khana bahut swadisht hai,Food,Peer / Casual,scene set,MIDDLE,Yes,[ASSERT_POSITIVE],idiom,Khana bahut scene set swadisht hai
Gana bahut loudly baj raha hai,Music,Peer / Tired,yaar,"START, END",No,[ASSERT_NEGATIVE],filler,"Yaar, Gana bahut loudly baj raha hai yaar"
Baarish shuru ho gayi,Weather,Peer / Casual,guru,END,Yes,[REQUEST_NEUTRAL],filler,Baarish shuru ho gayi guru
Train late chal rahi hai,Travel,Peer / Angry,bakwaas,START,Yes,[ASSERT_STRESS],negative_eval,"Bakwaas, Train late chal rahi hai"
Mujhe yeh movie pasand aayi,Entertainment,Peer / Happy,chal,START,Yes,[ASSERT_HAPPY],discourse_marker,"Chal, Mujhe yeh movie pasand aayi"
System crash ho gaya,Tech Issue,Friend / Anxious,bhasad,START,Yes,[ASSERT_NEGATIVE],idiom,"Bhasad, System crash ho gaya"
Train late chal rahi hai,Travel,Peer / Angry,bro,MIDDLE,Yes,[ASSERT_STRESS],filler,Train late bro chal rahi hai
Baarish shuru ho gayi,Weather,Friend / Normal,chal,MIDDLE,Yes,[ASSERT_CONFUSION],discourse_marker,Baarish shuru chal ho gayi
Flight time par land ho gayi,Travel,Friend / Excited,kadak,START,Yes,[ASSERT_POSITIVE],positive_eval,"Kadak, Flight time par land ho gayi"
Khana bahut swadisht hai,Food,Casual / Joyful,bawaal,"START, END",No,[ASSERT_HAPPY],positive_eval,"Bawaal, Khana bahut swadisht hai bawaal"
Traffic jam bahut lamba tha,Commute,Friend / Anxious,boss,"START, END",No,[ASSERT_STRESS],filler,"Boss, Traffic jam bahut lamba tha boss"
Market mein bahut bheed thi,Shopping,Peer / Angry,bhai,START,Yes,[ASSERT_STRESS],filler,"Bhai, Market mein bahut bheed thi"
Kal meri chhutti hai,Work,Friend / Excited,scene,END,Yes,[ASSERT_POSITIVE],filler,Kal meri chhutti hai scene
Class cancel ho gayi,Academics,Peer / Happy,mast,END,Yes,[ASSERT_HAPPY],positive_eval,Class cancel ho gayi mast
Mausam aaj bahut achha hai,Weather,Friend / Excited,theek hai,"START, END",No,[ASSERT_POSITIVE],filler,"Theek hai, Mausam aaj bahut achha hai theek hai"
Traffic jam bahut lamba tha,Commute,Peer / Serious,bro,START,Yes,[ASSERT_NEGATIVE],filler,"Bro, Traffic jam bahut lamba tha"
Mujhe akele rehna pasand hai,Personal,Peer / Casual,boss,"START, END",No,[REQUEST_NEUTRAL],filler,"Boss, Mujhe akele rehna pasand hai boss"
Class cancel ho gayi,Academics,Peer / Happy,bhai,START,Yes,[ASSERT_POSITIVE],filler,"Bhai, Class cancel ho gayi"
Office mein bahut kaam hai,Work,Peer / Angry,dimag kharab,MIDDLE,Yes,[ASSERT_NEGATIVE],negative_eval,Office mein dimag kharab bahut kaam hai
Traffic jam bahut lamba tha,Commute,Peer / Serious,dimag kharab,"START, END",No,[ASSERT_FRUSTRATION],negative_eval,"Dimag kharab, Traffic jam bahut lamba tha dimag kharab"
Mujhe akele rehna pasand hai,Personal,Peer / Casual,theek hai,"START, END",No,[INFO_STATEMENT],filler,"Theek hai, Mujhe akele rehna pasand hai theek hai"
Internet ki speed slow hai,Tech Issue,Peer / Tired,bhasad,"START, END",No,[ASSERT_STRESS],idiom,"Bhasad, Internet ki speed slow hai bhasad"
Garmi bahut zyada hai aaj,Weather,Peer / Tired,panga,"START, END",No,[ASSERT_ANXIETY],idiom,"Panga, Garmi bahut zyada hai aaj panga"
Garmi bahut zyada hai aaj,Weather,Peer / Serious,yaar,"START, END",No,[ASSERT_STRESS],filler,"Yaar, Garmi bahut zyada hai aaj yaar"
Khana bahut swadisht hai,Food,Friend / Excited,ek number,START,Yes,[ASSERT_EXCITED],positive_eval,"Ek number, Khana bahut swadisht hai"
Assignment bahut lamba hai,Academics,Friend / Anxious,scene,"START, END",No,[ASSERT_SADNESS],filler,"Scene, Assignment bahut lamba hai scene"
Class cancel ho gayi,Academics,Casual / Joyful,scene,END,Yes,[ASSERT_HAPPY],filler,Class cancel ho gayi scene
Mausam aaj bahut achha hai,Weather,Peer / Casual,jhakaas,START,Yes,[ASSERT_HAPPY],positive_eval,"Jhakaas, Mausam aaj bahut achha hai"
Naya update install kar liya,Tech,Friend / Normal,scene,END,Yes,[REQUEST_NEUTRAL],filler,Naya update install kar liya scene
Traffic jam bahut lamba tha,Commute,Peer / Tired,panga,START,Yes,[ASSERT_SADNESS],idiom,"Panga, Traffic jam bahut lamba tha"
Coffee bahut strong hai,Food,Casual / Joyful,boss,END,Yes,[ASSERT_HAPPY],filler,Coffee bahut strong hai boss
