neutral,output,control,function,positions,multi_allowed,social_context,context,slangs
Baarish shuru ho gayi,"Bro, Baarish shuru ho gayi",ASSERT_NEUTRAL,filler,START,True,Peer / Casual,Weather,bro
Khana bahut swadisht hai,"Theek hai, Khana bahut swadisht hai",ASSERT_POSITIVE,filler,START,True,Casual / Joyful,Food,theek hai
Khana bahut swadisht hai,"Chal, Khana bahut swadisht hai chal",ASSERT_EXCITED,discourse_marker,START|END,False,Casual / Joyful,Food,chal
Party bahut mazedaar thi,"Ek number, Party bahut mazedaar thi ek number",ASSERT_EXCITED,positive_eval,START|END,False,Casual / Joyful,Party,ek number
Assignment bahut lamba hai,"Bhasad, Assignment bahut lamba hai",ASSERT_SADNESS,idiom,START,True,Friend / Anxious,Academics,bhasad
System crash ho gaya,"Panga, System crash ho gaya panga",ASSERT_STRESS,idiom,START|END,False,Casual / Frustrated,Tech Issue,panga
Thand badh gayi hai,"Scene, Thand badh gayi hai scene",ASSERT_NEUTRAL,filler,START|END,False,Peer / Casual,Weather,scene
Project deadline pass aa rahi hai,Project deadline pass dimag kharab aa rahi hai,ASSERT_FRUSTRATION,negative_eval,MIDDLE,True,Peer / Serious,Work,dimag kharab
Flight time par land ho gayi,"Bhai, Flight time par land ho gayi",ASSERT_HAPPY,filler,START,True,Friend / Excited,Travel,bhai
Dost ke sath ghoomne jana hai,"Guru, Dost ke sath ghoomne jana hai",ASSERT_HAPPY,filler,START,True,Peer / Casual,Outing,guru
Main tumhari help kar dunga,Main tumhari bawaal help kar dunga,ASSERT_HAPPY,positive_eval,MIDDLE,True,Peer / Happy,Helping,bawaal
Naya update install kar liya,Naya update bro install kar liya,ASSERT_CONFUSION,filler,MIDDLE,True,Peer / Casual,Tech,bro
Mujhe yeh movie pasand aayi,Mujhe yeh bro movie pasand aayi,ASSERT_EXCITED,filler,MIDDLE,True,Peer / Casual,Entertainment,bro
Khana bahut swadisht hai,Khana bahut guru swadisht hai,ASSERT_POSITIVE,filler,MIDDLE,True,Peer / Happy,Food,guru
Market mein bahut bheed thi,Market mein bahut bheed thi yaar,ASSERT_SADNESS,filler,END,True,Peer / Serious,Shopping,yaar
Thand badh gayi hai,Thand badh bro gayi hai,INFO_STATEMENT,filler,MIDDLE,True,Friend / Normal,Weather,bro
Match ka result achha tha,"Bro, Match ka result achha tha bro",ASSERT_HAPPY,filler,START|END,False,Friend / Excited,Sports,bro
Coffee bahut strong hai,Coffee bahut bawaal strong hai,ASSERT_POSITIVE,positive_eval,MIDDLE,True,Friend / Excited,Food,bawaal
Mujhe yeh movie pasand aayi,"Bhai, Mujhe yeh movie pasand aayi bhai",ASSERT_POSITIVE,filler,START|END,False,Peer / Casual,Entertainment,bhai
Assignment bahut lamba hai,"Dimag kharab, Assignment bahut lamba hai dimag kharab",ASSERT_FRUSTRATION,negative_eval,START|END,False,Casual / Frustrated,Academics,dimag kharab
Dost ke sath ghoomne jana hai,"Theek hai, Dost ke sath ghoomne jana hai theek hai",ASSERT_POSITIVE,filler,START|END,False,Peer / Happy,Outing,theek hai
Mausam aaj bahut achha hai,Mausam aaj bawaal bahut achha hai,ASSERT_EXCITED,positive_eval,MIDDLE,True,Casual / Joyful,Weather,bawaal
Mujhe samajh nahi aa raha,Mujhe samajh yaar nahi aa raha,ASSERT_SADNESS,filler,MIDDLE,True,Peer / Serious,Confusion,yaar
Baarish shuru ho gayi,Baarish shuru guru ho gayi,ASSERT_CONFUSION,filler,MIDDLE,True,Colleague / Neutral,Weather,guru
Mujhe samajh nahi aa raha,"Bhasad, Mujhe samajh nahi aa raha",ASSERT_SADNESS,idiom,START,True,Peer / Tired,Confusion,bhasad
Dost ke sath ghoomne jana hai,"Kadak, Dost ke sath ghoomne jana hai",ASSERT_HAPPY,positive_eval,START,True,Peer / Casual,Outing,kadak
Mujhe samajh nahi aa raha,Mujhe samajh dimag kharab nahi aa raha,ASSERT_FRUSTRATION,negative_eval,MIDDLE,True,Peer / Tired,Confusion,dimag kharab
Market mein bahut bheed thi,"Bakwaas, Market mein bahut bheed thi",ASSERT_NEGATIVE,negative_eval,START,True,Casual / Frustrated,Shopping,bakwaas
Party bahut mazedaar thi,"Boss, Party bahut mazedaar thi",ASSERT_EXCITED,filler,START,True,Peer / Casual,Party,boss
Office mein bahut kaam hai,Office mein bahut kaam hai bro,ASSERT_SADNESS,filler,END,True,Friend / Anxious,Work,bro
Garmi bahut zyada hai aaj,"Bhasad, Garmi bahut zyada hai aaj bhasad",ASSERT_STRESS,idiom,START|END,False,Peer / Tired,Weather,bhasad
Assignment bahut lamba hai,Assignment bahut lamba hai bakwaas,ASSERT_STRESS,negative_eval,END,True,Peer / Tired,Academics,bakwaas
Flight time par land ho gayi,"Jhakaas, Flight time par land ho gayi jhakaas",ASSERT_POSITIVE,positive_eval,START|END,False,Casual / Joyful,Travel,jhakaas
Thand badh gayi hai,"Guru, Thand badh gayi hai",ASSERT_NEUTRAL,filler,START,True,Peer / Casual,Weather,guru
Office mein bahut kaam hai,"Guru, Office mein bahut kaam hai guru",ASSERT_NEGATIVE,filler,START|END,False,Friend / Anxious,Work,guru
Khana bahut swadisht hai,"Yaar, Khana bahut swadisht hai yaar",ASSERT_EXCITED,filler,START|END,False,Peer / Casual,Food,yaar
Market mein bahut bheed thi,"Kharaab, Market mein bahut bheed thi",ASSERT_SADNESS,negative_eval,START,True,Friend / Anxious,Shopping,kharaab
Mujhe samajh nahi aa raha,"Theek hai, Mujhe samajh nahi aa raha theek hai",ASSERT_ANXIETY,filler,START|END,False,Friend / Anxious,Confusion,theek hai
Assignment bahut lamba hai,Assignment bahut theek hai lamba hai,ASSERT_SADNESS,filler,MIDDLE,True,Peer / Serious,Academics,theek hai
Match ka result achha tha,"Chal, Match ka result achha tha",ASSERT_EXCITED,discourse_marker,START,True,Peer / Casual,Sports,chal
Class cancel ho gayi,Class cancel scene ho gayi,ASSERT_HAPPY,filler,MIDDLE,True,Peer / Casual,Academics,scene
Gana bahut loudly baj raha hai,Gana bahut loudly baj raha hai bekaar,ASSERT_ANXIETY,negative_eval,END,True,Peer / Serious,Music,bekaar
Aaj ka din bahut lamba tha,"Bhai, Aaj ka din bahut lamba tha",ASSERT_ANXIETY,filler,START,True,Peer / Tired,Daily life,bhai
Garmi bahut zyada hai aaj,Garmi bahut zyada hai aaj boss,ASSERT_NEGATIVE,filler,END,True,Peer / Angry,Weather,boss
Naya update install kar liya,"Guru, Naya update install kar liya",INFO_STATEMENT,filler,START,True,Colleague / Neutral,Tech,guru
Thand badh gayi hai,"Bro, Thand badh gayi hai bro",ASSERT_NEUTRAL,filler,START|END,False,Colleague / Neutral,Weather,bro
Thand badh gayi hai,"Yaar, Thand badh gayi hai",REQUEST_NEUTRAL,filler,START,True,Peer / Casual,Weather,yaar
Internet ki speed slow hai,Internet ki speed slow hai guru,ASSERT_ANXIETY,filler,END,True,Peer / Serious,Tech Issue,guru
Mujhe akele rehna pasand hai,Mujhe akele rehna pasand hai bhai,INFO_STATEMENT,filler,END,True,Peer / Casual,Personal,bhai
Office mein bahut kaam hai,Office mein chal bahut kaam hai,ASSERT_ANXIETY,discourse_marker,MIDDLE,True,Peer / Tired,Work,chal
Traffic jam bahut lamba tha,"Bro, Traffic jam bahut lamba tha",ASSERT_FRUSTRATION,filler,START,True,Peer / Tired,Commute,bro
System crash ho gaya,System crash ho gaya raddi,ASSERT_STRESS,negative_eval,END,True,Peer / Serious,Tech Issue,raddi
Coffee bahut strong hai,Coffee bahut strong hai bhadiya,ASSERT_HAPPY,positive_eval,END,True,Friend / Excited,Food,bhadiya
Thand badh gayi hai,Thand badh gayi hai bro,INFO_STATEMENT,filler,END,True,Peer / Casual,Weather,bro
Mausam aaj bahut achha hai,Mausam aaj bahut achha hai bhai,ASSERT_POSITIVE,filler,END,True,Peer / Casual,Weather,bhai
Thand badh gayi hai,Thand badh gayi hai guru,INFO_STATEMENT,filler,END,True,Colleague / Neutral,Weather,guru
Kal meri chhutti hai,Kal meri chhutti hai solid,ASSERT_HAPPY,positive_eval,END,True,Casual / Joyful,Work,solid
Internet ki speed slow hai,"Yaar, Internet ki speed slow hai yaar",ASSERT_FRUSTRATION,filler,START|END,False,Casual / Frustrated,Tech Issue,yaar
Party bahut mazedaar thi,"Guru, Party bahut mazedaar thi",ASSERT_HAPPY,filler,START,True,Peer / Happy,Party,guru
Meeting kal tak postpone ho gayi,Meeting kal tak bhai postpone ho gayi,ASSERT_NEUTRAL,filler,MIDDLE,True,Friend / Normal,Work,bhai
Baarish shuru ho gayi,Baarish shuru boss ho gayi,REQUEST_NEUTRAL,filler,MIDDLE,True,Colleague / Neutral,Weather,boss
Mujhe yeh movie pasand aayi,Mujhe yeh movie pasand aayi faadu,ASSERT_HAPPY,positive_eval,END,True,Casual / Joyful,Entertainment,faadu
Kal meri chhutti hai,"Bhadiya, Kal meri chhutti hai",ASSERT_POSITIVE,positive_eval,START,True,Casual / Joyful,Work,bhadiya
Chai thandi ho gayi hai,"Bekaar, Chai thandi ho gayi hai",ASSERT_FRUSTRATION,negative_eval,START,True,Peer / Angry,Food,bekaar
System crash ho gaya,System crash ho gaya chal,ASSERT_STRESS,discourse_marker,END,True,Peer / Angry,Tech Issue,chal
Coffee bahut strong hai,"Jhakaas, Coffee bahut strong hai jhakaas",ASSERT_POSITIVE,positive_eval,START|END,False,Peer / Casual,Food,jhakaas
Baarish shuru ho gayi,"Boss, Baarish shuru ho gayi boss",INFO_STATEMENT,filler,START|END,False,Peer / Casual,Weather,boss
Internet ki speed slow hai,Internet ki bhasad speed slow hai,ASSERT_FRUSTRATION,idiom,MIDDLE,True,Friend / Anxious,Tech Issue,bhasad
Market mein bahut bheed thi,"Bhasad, Market mein bahut bheed thi",ASSERT_SADNESS,idiom,START,True,Peer / Serious,Shopping,bhasad
Market mein bahut bheed thi,Market mein bahut bheed thi dimag kharab,ASSERT_ANXIETY,negative_eval,END,True,Friend / Anxious,Shopping,dimag kharab
Coffee bahut strong hai,Coffee bahut strong hai solid,ASSERT_EXCITED,positive_eval,END,True,Friend / Excited,Food,solid
System crash ho gaya,"Boss, System crash ho gaya boss",ASSERT_ANXIETY,filler,START|END,False,Peer / Serious,Tech Issue,boss
Baarish shuru ho gayi,"Theek hai, Baarish shuru ho gayi",ASSERT_CONFUSION,filler,START,True,Colleague / Neutral,Weather,theek hai
Chai thandi ho gayi hai,"Panga, Chai thandi ho gayi hai panga",ASSERT_STRESS,idiom,START|END,False,Peer / Angry,Food,panga
System crash ho gaya,"Bhasad, System crash ho gaya bhasad",ASSERT_NEGATIVE,idiom,START|END,False,Casual / Frustrated,Tech Issue,bhasad
Mujhe yeh movie pasand aayi,"Bawaal, Mujhe yeh movie pasand aayi bawaal",ASSERT_HAPPY,positive_eval,START|END,False,Peer / Casual,Entertainment,bawaal
Main tumhari help kar dunga,Main tumhari help kar dunga bhai,ASSERT_HAPPY,filler,END,True,Casual / Joyful,Helping,bhai
Office mein bahut kaam hai,Office mein bahut kaam hai yaar,ASSERT_FRUSTRATION,filler,END,True,Friend / Anxious,Work,yaar
Class cancel ho gayi,Class cancel kadak ho gayi,ASSERT_HAPPY,positive_eval,MIDDLE,True,Peer / Casual,Academics,kadak
Internet ki speed slow hai,Internet ki speed slow hai yaar,ASSERT_ANXIETY,filler,END,True,Friend / Anxious,Tech Issue,yaar
Baarish shuru ho gayi,"Chal, Baarish shuru ho gayi",ASSERT_CONFUSION,discourse_marker,START,True,Friend / Normal,Weather,chal
Aaj ka din bahut lamba tha,Aaj ka din bahut lamba tha load,ASSERT_SADNESS,idiom,END,True,Casual / Frustrated,Daily life,load
Garmi bahut zyada hai aaj,"Watt lag gayi, Garmi bahut zyada hai aaj",ASSERT_ANXIETY,idiom,START,True,Peer / Tired,Weather,watt lag gayi
Class cancel ho gayi,Class cancel ho gayi ek number,ASSERT_EXCITED,positive_eval,END,True,Peer / Casual,Academics,ek number
Chai thandi ho gayi hai,Chai thandi boss ho gayi hai,ASSERT_STRESS,filler,MIDDLE,True,Peer / Angry,Food,boss
Garmi bahut zyada hai aaj,"Watt lag gayi, Garmi bahut zyada hai aaj",ASSERT_NEGATIVE,idiom,START,True,Peer / Tired,Weather,watt lag gayi
Class cancel ho gayi,Class cancel bawaal ho gayi,ASSERT_HAPPY,positive_eval,MIDDLE,True,Peer / Casual,Academics,bawaal
Office mein bahut kaam hai,"Bhasad, Office mein bahut kaam hai",ASSERT_NEGATIVE,idiom,START,True,Peer / Tired,Work,bhasad
Internet ki speed slow hai,Internet ki speed slow hai bhasad,ASSERT_FRUSTRATION,idiom,END,True,Friend / Anxious,Tech Issue,bhasad
Main tumhari help kar dunga,Main tumhari help kar dunga bawaal,ASSERT_HAPPY,positive_eval,END,True,Peer / Casual,Helping,bawaal
Office mein bahut kaam hai,"Panga, Office mein bahut kaam hai panga",ASSERT_STRESS,idiom,START|END,False,Casual / Frustrated,Work,panga
System crash ho gaya,"Kharaab, System crash ho gaya kharaab",ASSERT_SADNESS,negative_eval,START|END,False,Friend / Anxious,Tech Issue,kharaab
Aaj ka din bahut lamba tha,Aaj ka din bhasad bahut lamba tha,ASSERT_FRUSTRATION,idiom,MIDDLE,True,Casual / Frustrated,Daily life,bhasad
Internet ki speed slow hai,"Bro, Internet ki speed slow hai",ASSERT_FRUSTRATION,filler,START,True,Peer / Angry,Tech Issue,bro
Mujhe yeh movie pasand aayi,Mujhe yeh bro movie pasand aayi,ASSERT_HAPPY,filler,MIDDLE,True,Casual / Joyful,Entertainment,bro
Internet ki speed slow hai,Internet ki speed slow hai bakwaas,ASSERT_STRESS,negative_eval,END,True,Peer / Tired,Tech Issue,bakwaas
Assignment bahut lamba hai,Assignment bahut lamba hai bro,ASSERT_STRESS,filler,END,True,Friend / Anxious,Academics,bro
Mausam aaj bahut achha hai,Mausam aaj scene bahut achha hai,ASSERT_HAPPY,filler,MIDDLE,True,Peer / Happy,Weather,scene
Coffee bahut strong hai,"Bro, Coffee bahut strong hai",ASSERT_HAPPY,filler,START,True,Casual / Joyful,Food,bro
Chai thandi ho gayi hai,"Bakwaas, Chai thandi ho gayi hai",ASSERT_SADNESS,negative_eval,START,True,Peer / Angry,Food,bakwaas
Aaj ka din bahut lamba tha,"Panga, Aaj ka din bahut lamba tha",ASSERT_STRESS,idiom,START,True,Friend / Anxious,Daily life,panga
Match ka result achha tha,Match ka result achha tha jhakaas,ASSERT_HAPPY,positive_eval,END,True,Friend / Excited,Sports,jhakaas
Kal meri chhutti hai,Kal meri ek number chhutti hai,ASSERT_EXCITED,positive_eval,MIDDLE,True,Peer / Casual,Work,ek number
Assignment bahut lamba hai,Assignment bahut watt lag gayi lamba hai,ASSERT_ANXIETY,idiom,MIDDLE,True,Peer / Tired,Academics,watt lag gayi
Mausam aaj bahut achha hai,"Bhadiya, Mausam aaj bahut achha hai",ASSERT_HAPPY,positive_eval,START,True,Peer / Happy,Weather,bhadiya
Kal meri chhutti hai,Kal meri theek hai chhutti hai,ASSERT_HAPPY,filler,MIDDLE,True,Casual / Joyful,Work,theek hai
Khana bahut swadisht hai,"Bawaal, Khana bahut swadisht hai bawaal",ASSERT_POSITIVE,positive_eval,START|END,False,Peer / Happy,Food,bawaal
Office mein bahut kaam hai,"Load, Office mein bahut kaam hai load",ASSERT_FRUSTRATION,idiom,START|END,False,Friend / Anxious,Work,load
Aaj ka din bahut lamba tha,Aaj ka din yaar bahut lamba tha,ASSERT_SADNESS,filler,MIDDLE,True,Peer / Tired,Daily life,yaar
Main tumhari help kar dunga,"Theek hai, Main tumhari help kar dunga",ASSERT_POSITIVE,filler,START,True,Friend / Excited,Helping,theek hai
Khana bahut swadisht hai,Khana bahut bawaal swadisht hai,ASSERT_EXCITED,positive_eval,MIDDLE,True,Peer / Casual,Food,bawaal
Train late chal rahi hai,Train late panga chal rahi hai,ASSERT_NEGATIVE,idiom,MIDDLE,True,Peer / Serious,Travel,panga
System crash ho gaya,System crash load ho gaya,ASSERT_NEGATIVE,idiom,MIDDLE,True,Friend / Anxious,Tech Issue,load
Mujhe samajh nahi aa raha,"Yaar, Mujhe samajh nahi aa raha",ASSERT_FRUSTRATION,filler,START,True,Peer / Tired,Confusion,yaar
Khana bahut swadisht hai,"Faadu, Khana bahut swadisht hai",ASSERT_POSITIVE,positive_eval,START,True,Peer / Happy,Food,faadu
Market mein bahut bheed thi,Market mein kharaab bahut bheed thi,ASSERT_STRESS,negative_eval,MIDDLE,True,Peer / Serious,Shopping,kharaab
Mujhe samajh nahi aa raha,Mujhe samajh nahi aa raha bhai,ASSERT_FRUSTRATION,filler,END,True,Casual / Frustrated,Confusion,bhai
Coffee bahut strong hai,Coffee bahut faadu strong hai,ASSERT_HAPPY,positive_eval,MIDDLE,True,Peer / Happy,Food,faadu
Market mein bahut bheed thi,Market mein scene bahut bheed thi,ASSERT_SADNESS,filler,MIDDLE,True,Peer / Serious,Shopping,scene
Mujhe akele rehna pasand hai,Mujhe akele bro rehna pasand hai,ASSERT_CONFUSION,filler,MIDDLE,True,Friend / Normal,Personal,bro
Coffee bahut strong hai,Coffee bahut strong hai bhadiya,ASSERT_POSITIVE,positive_eval,END,True,Friend / Excited,Food,bhadiya
Khana bahut swadisht hai,"Boss, Khana bahut swadisht hai boss",ASSERT_HAPPY,filler,START|END,False,Peer / Casual,Food,boss
Aaj ka din bahut lamba tha,Aaj ka din bro bahut lamba tha,ASSERT_SADNESS,filler,MIDDLE,True,Friend / Anxious,Daily life,bro
Baarish shuru ho gayi,Baarish shuru ho gayi boss,REQUEST_NEUTRAL,filler,END,True,Colleague / Neutral,Weather,boss
Khana bahut swadisht hai,"Chal, Khana bahut swadisht hai",ASSERT_POSITIVE,discourse_marker,START,True,Peer / Casual,Food,chal
Coffee bahut strong hai,"Scene set, Coffee bahut strong hai",ASSERT_POSITIVE,idiom,START,True,Peer / Casual,Food,scene set
Mujhe yeh movie pasand aayi,Mujhe yeh movie pasand aayi mast,ASSERT_POSITIVE,positive_eval,END,True,Peer / Casual,Entertainment,mast
System crash ho gaya,"Bro, System crash ho gaya",ASSERT_NEGATIVE,filler,START,True,Peer / Tired,Tech Issue,bro
Baarish shuru ho gayi,"Boss, Baarish shuru ho gayi",ASSERT_NEUTRAL,filler,START,True,Friend / Normal,Weather,boss
Aaj ka din bahut lamba tha,Aaj ka din bahut lamba tha bekaar,ASSERT_NEGATIVE,negative_eval,END,True,Peer / Serious,Daily life,bekaar
Thand badh gayi hai,"Theek hai, Thand badh gayi hai theek hai",REQUEST_NEUTRAL,filler,START|END,False,Colleague / Neutral,Weather,theek hai
Dost ke sath ghoomne jana hai,"Bro, Dost ke sath ghoomne jana hai bro",ASSERT_HAPPY,filler,START|END,False,Peer / Happy,Outing,bro
Kal meri chhutti hai,"Chal, Kal meri chhutti hai",ASSERT_HAPPY,discourse_marker,START,True,Peer / Casual,Work,chal
Flight time par land ho gayi,Flight time par faadu land ho gayi,ASSERT_HAPPY,positive_eval,MIDDLE,True,Casual / Joyful,Travel,faadu
Assignment bahut lamba hai,"Load, Assignment bahut lamba hai load",ASSERT_FRUSTRATION,idiom,START|END,False,Friend / Anxious,Academics,load
Aaj ka din bahut lamba tha,"Chal, Aaj ka din bahut lamba tha chal",ASSERT_NEGATIVE,discourse_marker,START|END,False,Peer / Angry,Daily life,chal
Dost ke sath ghoomne jana hai,"Mast, Dost ke sath ghoomne jana hai",ASSERT_EXCITED,positive_eval,START,True,Casual / Joyful,Outing,mast
Assignment bahut lamba hai,"Raddi, Assignment bahut lamba hai raddi",ASSERT_FRUSTRATION,negative_eval,START|END,False,Peer / Serious,Academics,raddi
Assignment bahut lamba hai,Assignment bahut bhai lamba hai,ASSERT_NEGATIVE,filler,MIDDLE,True,Peer / Angry,Academics,bhai
Kal meri chhutti hai,"Scene set, Kal meri chhutti hai scene set",ASSERT_POSITIVE,idiom,START|END,False,Peer / Casual,Work,scene set
Chai thandi ho gayi hai,"Load, Chai thandi ho gayi hai load",ASSERT_STRESS,idiom,START|END,False,Friend / Anxious,Food,load
Dost ke sath ghoomne jana hai,Dost ke sath chal ghoomne jana hai,ASSERT_EXCITED,discourse_marker,MIDDLE,True,Casual / Joyful,Outing,chal
Traffic jam bahut lamba tha,"Watt lag gayi, Traffic jam bahut lamba tha",ASSERT_NEGATIVE,idiom,START,True,Peer / Tired,Commute,watt lag gayi
Coffee bahut strong hai,Coffee bahut strong hai scene,ASSERT_POSITIVE,filler,END,True,Peer / Happy,Food,scene
Market mein bahut bheed thi,Market mein bahut bheed thi kharaab,ASSERT_FRUSTRATION,negative_eval,END,True,Colleague / Annoyed,Shopping,kharaab
Mausam aaj bahut achha hai,"Bhai, Mausam aaj bahut achha hai",ASSERT_HAPPY,filler,START,True,Colleague / Excited,Weather,bhai
Mausam aaj bahut achha hai,"Bawaal, Mausam aaj bahut achha hai",ASSERT_POSITIVE,positive_eval,START,True,Peer / Casual,Weather,bawaal
Bhookh lag rahi hai,"Yaar, Bhookh lag rahi hai yaar",INFO_STATEMENT,filler,START|END,False,Friend / Normal,Food,yaar
Mujhe samajh nahi aa raha,"Bakwaas, Mujhe samajh nahi aa raha bakwaas",ASSERT_STRESS,negative_eval,START|END,False,Peer / Tired,Confusion,bakwaas
Train late chal rahi hai,"Abe, Train late chal rahi hai",ASSERT_STRESS,filler,START,True,Casual / Frustrated,Travel,abe
Naya update install kar liya,"Abe, Naya update install kar liya abe",INFO_STATEMENT,filler,START|END,False,Casual / Calm,Tech,abe
Chai thandi ho gayi hai,"Bro, Chai thandi ho gayi hai bro",ASSERT_NEGATIVE,filler,START|END,False,Colleague / Annoyed,Food,bro
Bhookh lag rahi hai,"Scene, Bhookh lag rahi hai",INFO_STATEMENT,filler,START,True,Friend / Normal,Food,scene
Gym jana shuru kiya hai,Gym jana shuru kiya hai lallantop,ASSERT_POSITIVE,positive_eval,END,True,Peer / Happy,Fitness,lallantop
Manager gusse mein tha,Manager gusse siyappa mein tha,ASSERT_NEGATIVE,idiom,MIDDLE,True,Peer / Tired,Work,siyappa
Flight time par land ho gayi,Flight time par ek number land ho gayi,ASSERT_EXCITED,positive_eval,MIDDLE,True,Peer / Casual,Travel,ek number
Result bahut badiya aaya,Result bahut badiya aaya boss,ASSERT_HAPPY,filler,END,True,Colleague / Excited,Academics,boss
Aaj ka din bahut lamba tha,"Theek hai, Aaj ka din bahut lamba tha",ASSERT_ANXIETY,filler,START,True,Friend / Anxious,Daily life,theek hai
Kuch samajh nahi aa raha,"Watt lag gayi, Kuch samajh nahi aa raha",ASSERT_ANXIETY,idiom,START,True,Colleague / Annoyed,Confusion,watt lag gayi
Kal meri chhutti hai,"Abe, Kal meri chhutti hai",ASSERT_EXCITED,filler,START,True,Peer / Happy,Work,abe
Internet ki speed slow hai,"Bakwaas, Internet ki speed slow hai",ASSERT_ANXIETY,negative_eval,START,True,Casual / Frustrated,Tech Issue,bakwaas
Exams paas aa rahe hain,Exams paas chal aa rahe hain,ASSERT_STRESS,discourse_marker,MIDDLE,True,Peer / Serious,Academics,chal
Laptop ki battery khatam ho gayi,Laptop ki battery bekaar khatam ho gayi,ASSERT_ANXIETY,negative_eval,MIDDLE,True,Peer / Tired,Tech,bekaar
Mujhe yeh movie pasand aayi,Mujhe yeh movie pasand aayi bro,ASSERT_POSITIVE,filler,END,True,Casual / Joyful,Entertainment,bro
Chai thandi ho gayi hai,"Bhai, Chai thandi ho gayi hai bhai",ASSERT_NEGATIVE,filler,START|END,False,Colleague / Annoyed,Food,bhai
Exams paas aa rahe hain,Exams paas siyappa aa rahe hain,ASSERT_ANXIETY,idiom,MIDDLE,True,Peer / Tired,Academics,siyappa
Market mein bahut bheed thi,Market mein bahut bheed thi scene,ASSERT_NEGATIVE,filler,END,True,Casual / Frustrated,Shopping,scene
Manager gusse mein tha,"Bakwaas, Manager gusse mein tha bakwaas",ASSERT_FRUSTRATION,negative_eval,START|END,False,Colleague / Annoyed,Work,bakwaas
Bhookh lag rahi hai,"Theek hai, Bhookh lag rahi hai theek hai",ASSERT_CONFUSION,filler,START|END,False,Casual / Calm,Food,theek hai
Kripya shanti banaye rakhein,Kripya shanti abe banaye rakhein,REQUEST_NEUTRAL,filler,MIDDLE,True,Friend / Normal,Conduct,abe
Yeh gaana bahut achha hai,Yeh gaana superb bahut achha hai,ASSERT_POSITIVE,positive_eval,MIDDLE,True,Peer / Happy,Music,superb
Internet ki speed slow hai,Internet ki bekaar speed slow hai,ASSERT_FRUSTRATION,negative_eval,MIDDLE,True,Peer / Angry,Tech Issue,bekaar
Mujhe samajh nahi aa raha,Mujhe samajh nahi aa raha bekaar,ASSERT_FRUSTRATION,negative_eval,END,True,Peer / Serious,Confusion,bekaar
Dava kha li maine,Dava kha li maine yaar,ASSERT_CONFUSION,filler,END,True,Colleague / Neutral,Health,yaar
Internet ki speed slow hai,Internet ki speed slow hai bhai,ASSERT_SADNESS,filler,END,True,Peer / Tired,Tech Issue,bhai
Exams paas aa rahe hain,"Dimag kharab, Exams paas aa rahe hain",ASSERT_ANXIETY,negative_eval,START,True,Friend / Anxious,Academics,dimag kharab
Mujhe samajh nahi aa raha,"Sun, Mujhe samajh nahi aa raha sun",ASSERT_STRESS,discourse_marker,START|END,False,Friend / Anxious,Confusion,sun
Flight time par land ho gayi,"Bro, Flight time par land ho gayi",ASSERT_EXCITED,filler,START,True,Colleague / Excited,Travel,bro
Subah jaldi uthna pada,"Theek hai, Subah jaldi uthna pada",ASSERT_SADNESS,filler,START,True,Peer / Tired,Daily life,theek hai
Paise khatam ho gaye,Paise khatam dimag kharab ho gaye,ASSERT_ANXIETY,negative_eval,MIDDLE,True,Peer / Tired,Finance,dimag kharab
Project deadline pass aa rahi hai,Project deadline pass aa rahi hai dimag kharab,ASSERT_FRUSTRATION,negative_eval,END,True,Peer / Tired,Work,dimag kharab
Class cancel ho gayi,Class cancel chal ho gayi,ASSERT_POSITIVE,discourse_marker,MIDDLE,True,Peer / Happy,Academics,chal
Mujhe naya phone lena hai,"Abe, Mujhe naya phone lena hai abe",ASSERT_NEUTRAL,filler,START|END,False,Friend / Normal,Shopping,abe
Traffic jam bahut lamba tha,Traffic jam guru bahut lamba tha,ASSERT_ANXIETY,filler,MIDDLE,True,Peer / Serious,Commute,guru
Main tumhari help kar dunga,Main tumhari guru help kar dunga,ASSERT_EXCITED,filler,MIDDLE,True,Casual / Joyful,Helping,guru
Main tumhari help kar dunga,Main tumhari theek hai help kar dunga,ASSERT_EXCITED,filler,MIDDLE,True,Colleague / Excited,Helping,theek hai
Dost ke sath ghoomne jana hai,"Bro, Dost ke sath ghoomne jana hai bro",ASSERT_POSITIVE,filler,START|END,False,Peer / Casual,Outing,bro
Bhookh lag rahi hai,"Bro, Bhookh lag rahi hai bro",ASSERT_NEUTRAL,filler,START|END,False,Casual / Calm,Food,bro
Exams paas aa rahe hain,"Kharaab, Exams paas aa rahe hain",ASSERT_SADNESS,negative_eval,START,True,Peer / Angry,Academics,kharaab
Thand badh gayi hai,Thand badh sun gayi hai,ASSERT_NEUTRAL,discourse_marker,MIDDLE,True,Friend / Normal,Weather,sun
Gym jana shuru kiya hai,Gym jana superb shuru kiya hai,ASSERT_HAPPY,positive_eval,MIDDLE,True,Peer / Casual,Fitness,superb
Match ka result achha tha,"Scene, Match ka result achha tha",ASSERT_POSITIVE,filler,START,True,Casual / Joyful,Sports,scene
Dava kha li maine,"Abe, Dava kha li maine abe",ASSERT_CONFUSION,filler,START|END,False,Colleague / Neutral,Health,abe
Thand badh gayi hai,"Abe, Thand badh gayi hai abe",ASSERT_NEUTRAL,filler,START|END,False,Peer / Casual,Weather,abe
Raat ko der ho gayi,"Guru, Raat ko der ho gayi guru",ASSERT_NEUTRAL,filler,START|END,False,Colleague / Neutral,Daily life,guru
